1508,807
7857,3176
6072,60
5155,2378
6945,6802
8103,7044
5602,694
1520,399
1537,859
2888,702
5921,3941
8856,5344
8069,104
9297,7282
9615,7330
6487,6048
7906,5851
8883,2411
9155,889
6400,85
9790,5338
5298,4632
9504,6412
9821,4374
7656,5841
7154,776
7510,3777
5886,4437
2301,894
1704,74
9979,2138
7098,1149
7277,5135
9702,5907
6816,4217
7209,5878
9710,7480
3294,2128
7374,4469
2834,1879
7553,6069
8697,8581
3827,209
5494,1743
1388,514
7978,7557
8936,8078
9863,7974
8768,5138
7245,1632
5995,1694
9333,2886
7426,3429
8866,6271
6807,1001
6733,6057
8919,6075
5521,3182
7059,6197
2381,1729
8985,7313
8335,4257
4104,3187
9679,3384
8863,1646
8386,123
4072,1443
4667,1857
3710,72
5011,4834
4607,427
9428,6906
3630,2521
2878,1529
7314,3316
9057,1301
5186,4766
3977,265
7310,742
8320,944
8876,36
8458,5652
