"(bands, hashes)", probability at 0.7, probability at 0.9, amount of candidate pairs
"(1, 1)",0.7,0.9,0.008379888268156424,1074
"(1, 2)",0.49,0.81,0.5,20
"(1, 3)",0.34299999999999997,0.7290000000000001,1.0,10
"(1, 4)",0.24009999999999998,0.6561,1.0,9
"(1, 5)",0.16806999999999994,0.5904900000000001,1.0,9
"(1, 6)",0.117649,0.531441,1.0,9
"(1, 7)",0.08235429999999999,0.47829690000000014,1.0,10
"(1, 8)",0.05764800999999997,0.4304672100000001,1.0,10
"(1, 9)",0.040353607000000014,0.38742048900000015,1.0,10
"(1, 10)",0.028247524899999932,0.34867844010000004,1.0,9
"(1, 11)",0.019773267429999963,0.31381059609000006,1.0,9
"(1, 12)",0.013841287200999974,0.2824295364810001,1.0,9
"(1, 13)",0.009688901040699971,0.2541865828329001,1.0,8
"(1, 14)",0.006782230728490046,0.22876792454961015,1.0,10
"(1, 15)",0.0047475615099430435,0.20589113209464904,1.0,7
"(1, 16)",0.0033232930569601082,0.18530201888518416,1.0,9
"(1, 17)",0.002326305139872087,0.16677181699666577,1.0,9
"(1, 18)",0.0016284135979104386,0.15009463529699918,1.0,10
"(1, 19)",0.0011398895185372737,0.13508517176729928,1.0,9
"(1, 20)",0.0007979226629760694,0.12157665459056932,1.0,8
"(1, 21)",0.0005585458640833263,0.10941898913151238,1.0,7
"(1, 22)",0.0003909821048583284,0.09847709021836115,1.0,8
"(1, 23)",0.000273687473400841,0.08862938119652508,1.0,8
"(1, 24)",0.00019158123138052208,0.07976644307687253,1.0,7
"(1, 25)",0.00013410686196635435,0.07178979876918534,1.0,6
"(1, 26)",9.387480337652576e-05,0.06461081889226672,1.0,8
"(1, 27)",6.571236236352362e-05,0.05814973700304005,1.0,9
"(1, 28)",4.5998653654510946e-05,0.05233476330273612,1.0,7
"(1, 29)",3.219905755813546e-05,0.04710128697246252,1.0,9
"(1, 30)",2.2539340290728127e-05,0.04239115827521622,1.0,9
"(1, 31)",1.5777538203476382e-05,0.038152042447694656,1.0,9
"(1, 32)",1.1044276742477876e-05,0.0343368382029251,1.0,7
"(1, 33)",7.730993719756718e-06,0.03090315438263258,1.0,7
"(1, 34)",5.411695603751987e-06,0.027812838944369367,1.0,5
"(1, 35)",3.7881869227041065e-06,0.025031555049932486,1.0,5
"(1, 36)",2.6517308459039768e-06,0.022528399544939237,1.0,10
"(1, 37)",1.856211592099477e-06,0.020275559590445247,1.0,10
"(1, 38)",1.2993481144363273e-06,0.018248003631400778,1.0,5
"(1, 39)",9.09543680149838e-07,0.016423203268260633,1.0,7
"(1, 40)",6.366805760382732e-07,0.014780882941434648,1.0,6
"(1, 41)",4.4567640322679125e-07,0.013302794647291116,1.0,5
"(1, 42)",3.119734822698561e-07,0.011972515182562038,1.0,7
"(1, 43)",2.183814376000015e-07,0.010775263664305812,1.0,8
"(1, 44)",1.5286700627559213e-07,0.009697737297875264,1.0,5
"(1, 45)",1.0700690444842564e-07,0.008727963568087693,1.0,7
"(1, 46)",7.490483311389795e-08,0.00785516721127899,1.0,2
"(1, 47)",5.2433383190830796e-08,0.007069650490151069,1.0,5
"(1, 48)",3.670336823358156e-08,0.00636268544113594,1.0,6
"(1, 49)",2.569235779681378e-08,0.005726416897022357,1.0,4
"(1, 50)",1.7984650435565186e-08,0.005153775207320077,1.0,3
"(1, 51)",1.258925530489563e-08,0.004638397686588136,1.0,6
"(1, 52)",8.812478746733632e-09,0.004174557917929311,1.0,5
"(1, 53)",6.168735078304621e-09,0.0037571021261363358,1.0,7
"(1, 54)",4.3181145326087744e-09,0.0033813919135227133,1.0,7
"(1, 55)",3.022680217235063e-09,0.003043252722170431,1.0,5
"(1, 56)",2.115876140962314e-09,0.00273892744995341,1.0,4
"(1, 57)",1.4811133430825407e-09,0.002465034704958069,1.0,6
"(1, 58)",1.0367793290555483e-09,0.002218531234462251,1.0,2
"(1, 59)",7.257454637255023e-10,0.0019966781110160037,1.0,5
"(1, 60)",5.080218468123121e-10,0.0017970102999144144,1.0,4
"(1, 61)",3.5561531497307897e-10,0.001617309269922984,1.0,3
"(1, 62)",2.4893076489007626e-10,0.0014555783429306413,1.0,4
"(1, 63)",1.7425150211636264e-10,0.0013100205086375993,1.0,4
"(1, 64)",1.2197609589037484e-10,0.001179018457773906,1.0,5
"(1, 65)",8.538325602103214e-11,0.001061116611996482,1.0,6
"(1, 66)",5.976830141918299e-11,0.0009550049507968117,1.0,4
"(1, 67)",4.183775548227686e-11,0.0008595044557171416,1.0,2
"(1, 68)",2.928646214428454e-11,0.0007735540101454497,1.0,5
"(1, 69)",2.050049019430844e-11,0.0006961986091308381,1.0,7
"(1, 70)",1.4350409749397386e-11,0.0006265787482178098,1.0,4
"(1, 71)",1.0045297926808416e-11,0.0005639208733960732,1.0,3
"(1, 72)",7.0317085487658915e-12,0.0005075287860564215,1.0,4
"(1, 73)",4.9221737796756315e-12,0.00045677590745074603,1.0,3
"(1, 74)",3.445466134621711e-12,0.00041109831670571584,1.0,2
"(1, 75)",2.41184849869569e-12,0.00036998848503511095,1.0,2
"(1, 76)",1.6883161535474756e-12,0.00033298963653161096,1.0,4
"(1, 77)",1.1818324097134791e-12,0.00029969067287849427,1.0,4
